,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,RespirationType
68_Sch_TF,Acidianus brierleyi,schoolfield two factor,Time To Increase SO4 to 3000mg/L,-7.820955439676139,0.6669483807916706,349.483653188,3.4301246571983546,NA,349.4493,342.0493,354.7493,0.157192623052,0.9735024609690995,-178.84731791999826,-172.12512302416607,1,False,19,4,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
68_Sch_OS,Acidianus brierleyi,schoolfield simple,Time To Increase SO4 to 3000mg/L,-7.820864790452039,0.66693609053162,NA,3.4303018579998117,NA,349.4493,342.0493,354.7493,0.157193325377,0.973502475531218,-178.847317908548,-172.12512301271582,2,False,19,4,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
68_Sch_O,Acidianus brierleyi,schoolfield,Time To Increase SO4 to 3000mg/L,-1.9262123462763845,1.0035089426096988e-09,NA,17.881041012831727,-1.26919188012,NA,NA,NA,NA,0.8923288562359677,-148.203243089433,-139.5921702352679,3,False,19,6,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_O,Acidianus brierleyi,schoolfield,Time To Double Fe3+ concentration,0.8528248650521829,1.859205572829481e-07,NA,12.273076901297175,-17.3979237146,341.7557,336.5557,349.0557,2.34605270238,0.963955236338715,-31.17784882857468,-24.704447521267873,1,False,14,6,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_TF,Acidianus brierleyi,schoolfield two factor,Time To Double Fe3+ concentration,-17.497997904247313,2.2395074336883902,342.448999878,4.19654593365447,NA,342.4557,338.7557,346.3557,2.68238416303,0.8847744121649139,-25.078056538885598,-19.882769890809307,2,False,14,4,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_OS,Acidianus brierleyi,schoolfield simple,Time To Double Fe3+ concentration,-17.49082616217315,2.2385888791318784,NA,4.19641238316055,NA,342.4557,338.7557,346.3557,2.68239289035,0.8847753209746442,-25.07805630875597,-19.882769660679678,3,False,14,4,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_OS,Acidianus brierleyi,schoolfield simple,Sulphur Oxidation Rate,-7.854636764364924,0.6715769525797148,NA,3.3737097109360175,NA,349.389,341.889,354.689,0.157050821361,0.973899714345204,-179.30308068009512,-172.58088578426293,1,False,19,4,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_TF,Acidianus brierleyi,schoolfield two factor,Sulphur Oxidation Rate,-7.854684106775792,0.6715833437801438,349.41450073,3.3736289810084035,NA,349.389,341.889,354.689,0.157050523033,0.9738997058185667,-179.30308067950037,-172.58088578366818,2,False,19,4,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_O,Acidianus brierleyi,schoolfield,Sulphur Oxidation Rate,-1.5781415119631559,1.013309325337275e-09,NA,71.79401537593444,-0.980534622408,355.289,344.289,356.089,0.166788413065,0.9770669724203668,-177.77910874650772,-169.16803589234263,3,False,19,6,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_O,Acidianus brierleyi,schoolfield,Fe3+ Oxidation Rate,0.8558357661483138,7.293315840151138e-09,NA,10.872697843268277,-18.2755966633,341.2823,336.5823,348.9823,2.35298269771,0.9639706718375658,-31.240509645559698,-24.76710833825289,1,False,14,6,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
