,index,ID,Strain,Model_name,Species,Reference,Trait,Latitude,Longitude,Kingdom,Phylum,Class,Order,Family,Genus,B0,B0_stderr,E,E stderr,T_pk,T_pk.stderr,E_D ,E_D.stderr,E_D_L,E_D_L stderr,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Donor,Acceptor,Respiration.Type,R_Squared,AIC,BIC,Rank,Corrected,Optimal Conditions,Number of Data Points,Number of Variables
1689,72,24.0,Thermus aquaticus YT1,schoolfield simple,thermus aquaticus,"Brock, T. D., & Freeze, H. (1969). sporulating Extreme Thermophile. Journal of Bacteriology, 98(I), 289?297.",Specific Growth Rate,,,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-4.940849085764988,1.0371426452274077,0.9791484535395325,0.1460671833741904,NA,NA,2.2488574008827547,0.19669159034236322,NA,NA,341.39630000001057,334.19630000000893,348.4963000000122,16.46320048229925,Na,Oxygen,,0.979857617974705,1.1116588517863892,5.536192100726391,2.0,False,True,12.0,4.0
1690,73,24.0,Thermus aquaticus YT1,schoolfield,thermus aquaticus,"Brock, T. D., & Freeze, H. (1969). sporulating Extreme Thermophile. Journal of Bacteriology, 98(I), 289?297.",Specific Growth Rate,,,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,0.7942753075226179,0.0,0.26611087196731054,0.0,NA,NA,25.489076673361495,0.0,-6.499193960785021e-09,0,NA,NA,NA,NA,Na,Oxygen,,0.5067329602499102,43.50594247569676,48.90028902421277,3.0,False,True,12.0,6.0
1691,730,253.0,Thermus chliarophilus,schoolfield simple,meiothermus chliarophilus,"Tenreiro, S., Nobre, M. F., & da Costa, M. S. (1995). Thermus silvanus sp. nov. and Thermus chliarophilus sp. nov., two new species related to thermus ruber but with lower growth temperatures. International Journal of Systematic Bacteriology, 45(4), 633?639.",Specific Growth Rate,,,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,-2.0287496795694433,1.1547946676561487,0.6974832721345197,0.1962445252775382,NA,NA,3.793473918971822,0.8354139999701576,NA,NA,324.54960000000716,318.5496000000058,328.6496000000081,11.71009396022891,Na,Nitrate,Aerobic,0.9542817668892127,4.526797941546937,6.256348686823502,1.0,False,True,7.0,4.0
1692,731,253.0,Thermus chliarophilus,schoolfield two factor,meiothermus chliarophilus,"Tenreiro, S., Nobre, M. F., & da Costa, M. S. (1995). Thermus silvanus sp. nov. and Thermus chliarophilus sp. nov., two new species related to thermus ruber but with lower growth temperatures. International Journal of Systematic Bacteriology, 45(4), 633?639.",Specific Growth Rate,,,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,-2.0287670111255105,1.1549308612430924,0.6974862714765012,0.1962682094639555,324.5620996400155,1.0738893538584022,3.7935209684592897,0.8352667129883317,NA,NA,324.54960000000716,318.5496000000058,328.6496000000081,11.710141954131386,Na,Nitrate,Aerobic,0.95428150914762,4.526797942054987,6.256348687331553,2.0,False,True,7.0,4.0
1693,732,253.0,Thermus chliarophilus,schoolfield,meiothermus chliarophilus,"Tenreiro, S., Nobre, M. F., & da Costa, M. S. (1995). Thermus silvanus sp. nov. and Thermus chliarophilus sp. nov., two new species related to thermus ruber but with lower growth temperatures. International Journal of Systematic Bacteriology, 45(4), 633?639.",Specific Growth Rate,,,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,2.5403278084498613,10.874613545296658,7.134726198732011e-08,1.2345893332835647,NA,NA,4.609062315635241,6.8257619792865905,-1.6787200825288129,2.2865621121857695,324.7496000000072,316.64960000000536,329.74960000000834,10.94909251219162,Na,Nitrate,Aerobic,0.9658697318218286,6.462122442706782,8.083493486093975,3.0,False,True,7.0,6.0
1694,634,221.0,Thermus flavus AT62,schoolfield simple,thermus thermophilus,"1972,  SAIKI, T. et al 'Isolation and Characterization of Extremely Thermophilic Bacteria from Hot Springs', Agr. Biol. Chem, 46 (2357-2366)",Specific Growth Rate,33.2,131.5,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-5.404778345170269,1.1908052881591449,1.0467046734220955,0.15930911600190042,NA,NA,2.802241484788807,0.19559545709216952,NA,NA,342.71260000001126,336.41260000000983,348.31260000001254,23.273936093711164,Na,Oxygen,,0.9960635129758346,-0.7556000916628314,0.20319725447744297,1.0,False,True,6.0,4.0
1695,635,221.0,Thermus flavus AT62,schoolfield two factor,thermus thermophilus,"1972,  SAIKI, T. et al 'Isolation and Characterization of Extremely Thermophilic Bacteria from Hot Springs', Agr. Biol. Chem, 46 (2357-2366)",Specific Growth Rate,33.2,131.5,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-5.4047881940135785,1.190792765073252,1.0467060286500138,0.15930759018305227,342.67922527409894,0.6718919133368381,2.8022401296888386,0.195598634623509,NA,NA,342.71260000001126,336.41260000000983,348.31260000001254,23.27393886014055,Na,Oxygen,,0.9960635122622437,-0.7556000880933631,0.20319725804691124,2.0,False,True,6.0,4.0
1696,636,221.0,Thermus flavus AT62,schoolfield,thermus thermophilus,"1972,  SAIKI, T. et al 'Isolation and Characterization of Extremely Thermophilic Bacteria from Hot Springs', Agr. Biol. Chem, 46 (2357-2366)",Specific Growth Rate,33.2,131.5,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-0.23243852399053003,0.0,0.44704697533335247,0.0,NA,NA,2.184418857203281,0.0,-276.18117350215033,0,339.4126000000105,339.11260000001045,347.01260000001224,23.421312001,Na,Oxygen,,0.621867234773043,32.59840681726429,33.14072310186067,3.0,True,True,6.0,6.0
1697,631,220.0,Thermus sp. AT61,schoolfield two factor,thermus sp. at61,"1972,  SAIKI, T. et al 'Isolation and Characterization of Extremely Thermophilic Bacteria from Hot Springs', Agr. Biol. Chem, 46 (2357-2366)",Specific Growth Rate,33.2,131.5,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-4.906264821660384,1.3158986666692103,0.9217146289097239,0.1553454865799619,345.8717367566272,0.4789555216136004,7.264183680211916,1.4788699763353879,NA,NA,345.8257000000085,341.22570000000746,348.5257000000091,24.25680634229791,Na,Na,,0.9879223187725537,6.689151689304811,7.647949035445086,1.0,False,True,6.0,4.0
1698,632,220.0,Thermus sp. AT61,schoolfield simple,thermus sp. at61,"1972,  SAIKI, T. et al 'Isolation and Characterization of Extremely Thermophilic Bacteria from Hot Springs', Agr. Biol. Chem, 46 (2357-2366)",Specific Growth Rate,33.2,131.5,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-4.906264408884223,1.3158975807605084,0.9217145840296779,0.1553453722855872,NA,NA,7.264182113070378,1.4788771466108859,NA,NA,345.8257000000085,341.22570000000746,348.5257000000091,24.256805246007612,Na,Na,,0.9879223183867747,6.689151689408501,7.647949035548775,2.0,False,True,6.0,4.0
